"player","avg_elo","n_wins_QGD","n_wins_QGA","n_losses_QGD","n_losses_QGA","n_ties_QGD","n_ties_QGA","n_QGD","n_QGA","elo_group","total_QG","experience_group"
"nagaraja1982",1612,4,4,6,4,0,0,10,8,3,18,3
"Nimrod64",2356,9,1,6,0,2,0,17,1,4,18,3
"njayd",1265,1,4,7,6,0,0,8,10,1,18,3
"Nouche",1680,10,1,7,0,0,0,17,1,3,18,3
"ponyju",1586,4,1,10,3,0,0,14,4,3,18,3
"rems",1362,1,2,6,9,0,0,7,11,1,18,3
"rovina",1392,3,3,6,6,0,0,9,9,1,18,3
"samynet",1519,5,1,6,6,0,0,11,7,2,18,3
"SETAYESH87",1575,1,1,1,15,0,0,2,16,2,18,3
"slick97",1844,4,7,3,4,0,0,7,11,4,18,3
"sund987",1813,6,2,7,1,1,1,14,4,4,18,3
"TapakaH41k",1930,11,1,6,0,0,0,17,1,4,18,3
"zalim",1480,6,2,9,1,0,0,15,3,2,18,3
"Asmchess",1575,11,3,3,0,0,0,14,3,2,17,3
"cenapselcuk",1765,2,3,4,7,0,1,6,11,4,17,3
"DNVM",1721,4,6,3,4,0,0,7,10,3,17,3
"eppo",2105,7,1,8,1,0,0,15,2,4,17,3
"fendo59",1722,5,2,7,3,0,0,12,5,4,17,3
"frenkica",1287,1,8,2,6,0,0,3,14,1,17,3
"GFRS",1988,9,1,6,1,0,0,15,2,4,17,3
"Heidelbergen",1349,2,4,4,4,0,3,6,11,1,17,3
"JhonWin",1532,2,1,13,1,0,0,15,2,2,17,3
"Kronwall",1705,9,1,6,1,0,0,15,2,3,17,3
"Lemuel_Gulliver",1774,4,1,9,3,0,0,13,4,4,17,3
"LeninaCrowne",1365,1,3,1,12,0,0,2,15,1,17,3
"LightShadow",1426,4,2,8,3,0,0,12,5,1,17,3
"MACKO93",1546,7,1,5,3,1,0,13,4,2,17,3
"mowglie",1449,6,2,7,2,0,0,13,4,2,17,3
"rashit",1671,2,6,0,8,0,1,2,15,3,17,3
"reydeguerras",1524,4,3,8,1,0,1,12,5,2,17,3
"safaale",1356,3,5,5,4,0,0,8,9,1,17,3
"tailuge",1404,4,2,6,5,0,0,10,7,1,17,3
"tarapana",1869,10,1,3,1,2,0,15,2,4,17,3
"ThreeFoxes",1346,2,6,1,7,0,1,3,14,1,17,3
"truten56",1693,1,13,0,3,0,0,1,16,3,17,3
"woodswoods",1706,6,1,9,0,1,0,16,1,3,17,3
"zadiriev",1610,5,6,1,5,0,0,6,11,3,17,3
"Alekhinek",1505,1,2,3,10,0,0,4,12,2,16,3
"alirezalor",1487,5,8,3,0,0,0,8,8,2,16,3
"arielww",1363,2,5,3,6,0,0,5,11,1,16,3
"asghar1933",1393,1,8,1,6,0,0,2,14,1,16,3
"atilioss",1238,4,1,6,5,0,0,10,6,1,16,3
"avivatico2",1727,3,6,5,2,0,0,8,8,4,16,3
